" ","StudentComments","Rating","totalwords","Sentiment"
"22093","he is good teacher.one thing is that student should do problem with his own in the lab without seeing only","5","20","positive"
"22094","he is really a very good teacher","5","7","positive"
"22095","he is very good teacher","5","5","positive"
"22096","he is very much energitic.he is smart enough.whenever he delivers his lecture he seems that he knows that topic perfectly.he is very much strict for that some of my friends are scared to him.","4.83","34","positive"
"22097","he should more friendly.","3.17","4","neutral"
"22098","his teaching style quite different to otherâ€™s. in the student side to understanding the lecture impossible.","1.74","16","negative"
"22099","his teaching satyle is excellent. he make the programming language so easy that we think we have learned it before","5","20","positive"
"22100","i think adnan faisal is a very good teacher for c++ .he is a talented person and self confident.i admire him a lot.","4.71","23","positive"
"22101","quiz question shoud be easier","3.25","5","neutral"
"22102","should give more example about topic.","4.42","6","positive"
"22103","the topics would be more understandable for weaker students if the teacher gives more easier examples in the class.","5","19","positive"
"22104","you teach well. you follow the technique that is fine. you teach the syntax or pattern. but i think that if u teaches more details about any topics. i mean if you give a real life example that you gives in exam or assignment. after that if you gives some problem then i have done better then now.","4.2","58","positive"
"22105","a good teacher with wide knowledge in subject matter.","4.83","9","positive"
"22106","afterall he is a good teacher","4","6","positive"
"22107","good","4.67","1","positive"
"22108","good","5","1","positive"
"22109","good","2.92","1","negative"
"22110","good","4.08","1","positive"
"22111","good and efficient","5","3","positive"
"22112","good bye","5","2","positive"
"22113","good teacher","4.65","2","positive"
"22114","good teacher.","4.67","2","positive"
"22115","good teacher.","5","2","positive"
"22116","handwriting is not main thing.","3","5","neutral"
"22117","he is a very good tecaher but no for the slow students.","4.83","12","positive"
"22118","he is a good fellow takes good care og students","4.5","10","positive"
"22119","he is a good person,and good teacher. he teaches clearly explain.","3.67","11","positive"
"22120","he is a good teacher","4.04","5","positive"
"22121","he is a good teacher,","4.87","5","positive"
"22122","he is a good teacher.","5","5","positive"
"22123","he is a good teacher.","4.83","5","positive"
"22124","he is a good teacher. i think he needs to discuss more about a topics with real life example.","4.57","19","positive"
"22125","he is a good teacher.teaching style is nice.","2.72","8","negative"
"22126","he is a very good teacher and his teaching stlye is excellent","5","12","positive"
"22127","he is a very good teacher.","4.79","6","positive"
"22128","he is a very good teacher.his teaching system is good.","4.67","10","positive"
"22129","he is a wonderful teacher that we have had in this semester,we r really thankful to him.","4.63","17","positive"
"22130","he is an excellent course instructor.","3.96","6","positive"
"22131","he is one of best teacher in aiub. also very helpful. his study style is like as linus.","4.67","18","positive"
"22132","he needs to give more examples for any topic.","4.96","9","positive"
"22133","i think he is a very good teacher.he have no problem at all.i pray for him.","5","16","positive"
"22134","makes a new standard with teachers & student relationship. notable thing is his smily attitude with descent behaviour.","4.54","18","positive"
"22135","not satisfied","2.36","2","negative"
"22136","simply he is the best.intelligent, decent, cooperative, nice and friendly.","5","10","positive"
"22137","sir is good","5","3","positive"
"22138","teaching style is perfect,easily understandable & excellent.","4.79","7","positive"
"22139","he is one of the best teacher in this university.wish his best of luck in this university. proced on in this way.","5","22","positive"
"22140","as teacher he is good ,but lack of deals with stduent, if student are not ask he never explin even a important topic,","2.54","23","negative"
"22141","fine teacher","3.71","2","positive"
"22142","good teacher i never seen such like a fine teacher","4.83","10","positive"
"22143","good teacher","5","2","positive"
"22144","he is a excellent teacher.","5","5","positive"
"22145","he is a good teacher.","5","5","positive"
"22146","he is a good teacher.","4.92","5","positive"
"22147","he is a good teacher.but i think he needs to discuss more about one topics with example that he gives in quiz then i have done big problem.","4.58","28","positive"
"22148","he is a quite good teacher. but his grading system more bad.","4.04","12","positive"
"22149","he is a very good teacher.","4.96","6","positive"
"22150","he is good teacher.","4.5","4","positive"
"22151","he is good teacher.nice smile","4.67","5","positive"
"22152","he is one of best teacher in aiub. also very helpful. his study style is like as linus.","4.67","18","positive"
"22153","he is perfect","5","3","positive"
"22154","he is quite well","4.83","4","positive"
"22155","he is the best teacher of my life.he is as friendly as he teaches us carefully.he always tries to make the topics easy & understandable.i like him very much.","4.67","29","positive"
"22156","he is very helpful & friendly.but in the lab class ,he goes very fast.if he hives more time for a topic that will be more helpful","4","26","positive"
"22157","he is very helpful.","4.54","4","positive"
"22158","hi is a good teacher","3","5","neutral"
"22159","i think he is a very good teacher.he have no problem at all.i pray for him.","5","16","positive"
"22160","i think he is very quiet. his smile is very sweet. his behavior with us is very good. he is very friendly with us. he teaches in the easiest way. i think he is one of the most thoughtful young teachers in aiub.","5","43","positive"
"22161","nice teacher","5","2","positive"
"22162","no needs","2.83","2","negative"
"22163","sir is good","5","3","positive"
"22164","the quizes` result should be published so that we can know our mistakes and prepare well for the final exam.","4.33","20","positive"
"22165","u r a good programmar but not a good teacher","1.33","10","negative"
"22166","good teacher","5","2","positive"
"22167","good teacher","5","2","positive"
"22168","good teacher.","4.67","2","positive"
"22169","good,nothing more to say","5","4","positive"
"22170","he is a good teacher.he is very helpful.","5","8","positive"
"22171","he is a great teacher but some say that he should make students respond in the class because most of the time students who dont understand stay silent","3.04","28","neutral"
"22172","he is a very good teacher","5","6","positive"
"22173","he is a very good teacher.","5","6","positive"
"22174","he is a wonderful teacher that we have had in this semester,we r really thankful to him.","4.63","17","positive"
"22175","he is good but it will be better if he gives us the quiz marks before the term so that we can evaluate ourselves.","5","24","positive"
